"時間戳記","What is your major? คณะของคุณคืออะไร ","Are you a non-native speaker of English? ภาษาอังกฤษไม่ใช่ภาษาแรกของคุณ ใช่หรือไม่","Age อายุ","Gender เพศ","What is your nationality? สัญชาติของคุณคือสัญชาติใด","1. While writing in English, I'm not nervous at all. ขณะที่เขียนภาษาอังกฤษ ฉันไม่กังวลหรือประหม่าเลย","2. I feel my heart pounding when I write English compositions under time
constraint. ฉันรู้สึกใจเต้นเวลาฉันเขียนงานเป็นภาษาอังกฤษภายใต้ข้อจำกัดด้านเวลา","3. While writing English compositions, I feel worried and uneasy if I know they 
will be evaluated. ในขณะที่เขียนงานภาษาอังกฤษ ฉันรู้สึกกังวลใจและไม่สบายใจ ถ้าฉันรู้ว่างานของฉันจะถูกประเมิน","4. I often choose to write down my thoughts in English. ฉันมักจะเลือกเขียนความคิดของฉันเป็นภาษาอังกฤษ","5. I usually do my best to avoid writing English compositions. บ่อยครั้ง ฉันหลีกเลี่ยงการเขียนงานภาษาอังกฤษได้อย่างดี","6. My mind often goes blank when I start to work on an English composition ฉันมักจะคิดอะไรไม่ออกเวลาเริ่มเขียนงานภาษาอังกฤษ","7. I don’t worry that my English compositions are a lot worse than others’ ฉันไม่กังวลว่างานเขียนภาษาอังกฤษของฉัน แย่กว่าของคนอื่นเป็นอย่างมาก","8. I tremble or perspire when I write English compositions under time pressure ฉันตัวสั่นและเหงื่อออกเวลาเขียนงานภาษาอังกฤษภายใต้การกดดันของเวลา","9. If my English composition is to be evaluated, I would worry about getting a very poor grade. ถ้างานภาษาอังกฤษของฉันจะถูกประเมิน ฉันจะกังวลว่าจะได้เกรดไม่ดี","10. I do my best to avoid situations in which I have to write in English ฉันทำอย่างเต็มที่เพื่อจะหลีกเลี่ยงสถานการณ์ที่จะต้องเขียนงานภาษาอังกฤษ","11.My thoughts become jumbled when I write English compositions under time constraint. ความคิดของฉัน จะสับสนเวลาเขียนงานภาษาอังกฤษภายใต้เวลาจำกัด","12.Unless I have no choice, I would not use English to write composition ฉันจะไม่ใช้ภาษาอังกฤษเพื่อเขียนงานยกเว้นถ้าฉันไม่มีทางเลือก","13. I often feel panic when I write English compositions under time constraint. ฉันมักจะตื่นตกใจเวลาฉันเขียนงานภาษาอังกฤษภายใต้เวลาจำกัด","14. I’m afraid that other students would deride my English composition if they read it. ฉันกลัวว่านักเรียนคนอื่นจะดูถูกงานภาษาอังกฤษของฉันถ้าพวกเขาได้อ่าน","15. I freeze up when unexpectedly asked to write English compositions. ฉันหยุดนิ่งเวลาคนถามให้เขียนงานภาษาอังกฤษอย่างไม่ทันตั้งตัว","16. I would do my best to excuse myself if asked to write English compositions. ฉันจะทำฉันจะทำเต็มที่ ในการแก้ต่างให้ตัวเองเวลาถูกถามให้เขียนงานภาษาอังกฤษ","17. I don’t worry at all about what other people would think of my English
compositions. ฉันไม่กังวลใดใดเลยว่าคนอื่นจะคิดยังไงเกี่ยวกับงานภาษาอังกฤษของฉัน","18. I usually seek every possible chance to write English compositions outside of
class. บ่อยครั้งที่ฉันจะหาทุกโอกาสที่เป็นไปได้เพื่อที่จะได้เขียนงานภาษาอังกฤษนอกห้องเรียน","19. I usually feel my whole body rigid and tense when I write English compositions. บ่อยครั้งที่ฉันรู้สึกร่างกายแข็งทื่อและเกร็งเวลาเขียนงานภาษาอังกฤษ ","20. I’m afraid of my English composition being chosen as a sample to be discussed in class. ฉันกลัวว่างานภาษาอังกฤษของฉันจะถูกเลือกให้เป็นตัวอย่างในการพูดคุยหารือในห้อง","21. I’m not afraid at all that my English compositions would be rated as very poor. ฉันไม่กลัวใดใดเลยว่างานภาษาอังกฤษของฉันจะถูกให้คะแนนต่ำมากๆ","22. Whenever possible, I would use English to write compositions. ตอนไหนก็ตามที่เป็นไปได้ฉันจะใช้ภาษาอังกฤษในการเขียนงาน","1. When I write English essays,  I worry about the negative comments and evaluation of the teacher. เวลาฉันเขียนเรียงความภาษาอังกฤษ ฉันกังวลเกี่ยวกับคอมเม้นต์และการประเมินในเชิงลบจากคุณครู","2. I'm afraid of writing tests. ฉันกลัวการเขียนข้อสอบ","3. When I write English essays,  I have lack of sufficient English writing practice which makes me feel anxious. เวลาฉันเขียนเรียงความภาษาอังกฤษ ฉันขาดการฝึกฝนด้านการเขียนภาษาอังกฤษที่จำเป็น ซึ่งทำให้รู้สึกกังวล","4. When I write English essays, I don’t have a good command of English writing techniques which makes me feel anxious. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันไม่มีเทคนิคที่ดีในการเขียนภาษาอังกฤษซึ่งทำให้ฉันกังวล","5. When I write English essays,  I don’t know what to write on the topic given by the teacher so I feel upset. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันไม่รู้ว่าจะเขียนอะไรของหัวข้อที่ถูกให้มาโดยคุณครู ฉันเลยรู้สึกไม่ดี","6. When I write English essays, I often encounter some linguistic problems such as inadequate mastery of vocabulary, sentence structures, grammatical errors, etc. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันมักจะเจอปัญหาด้านภาษาศาสตร์ อย่างเช่น ด้อยเรื่องความเชี่ยวชาญด้านคำศัพท์ โครงสร้างของประโยค ข้อผิดพลาดทางไวยากรณ์และอื่นๆ","7. When I write English essays,  I’m under pressure to offer a perfect work which makes me upset. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันอยู่ภายใต้ความกดดันที่จะต้องมอบงานที่สมบูรณ์แบบ ซึ่งทำให้ฉันรู้สึกไม่ดี","8. When I write English essays,  I feel anxious due to the high frequency of writing assignments. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันรู้สึกกังวล เนื่องจากมีงานเขียนอย่างต่อเนื่อง","9. When I write English essays,  I feel worry when I have to write under time constraints. เวลาฉันเขียนเรียงความภาษาอังกฤษ ฉันรู้สึกกังวลเวลาฉันต้องเขียนภายใต้เวลาจำกัด","10. When I write English essays, I have a low-confidence in English writing. เวลาฉันเขียนเรียงความภาษาอังกฤษฉันมีความมั่นใจน้อยในการเขียนภาษาอังกฤษ"
"2024/12/17 1:43:17 下午 GMT+7","STIU staff","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Strongly agree","Neutral","Disagree","Agree","Disagree","Disagree","Strongly agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree"
"2024/12/17 2:33:58 下午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Norwegian","Strongly agree","Disagree","Disagree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Disagree","Neutral","Strongly Disagree"
"2024/12/17 2:40:30 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Nepali","Agree","Neutral","Agree","Strongly Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Disagree","Agree","Neutral","Neutral","Strongly Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Strongly agree","Agree","Agree","Neutral","Neutral"
"2024/12/17 2:41:11 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai- British","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2024/12/17 2:42:11 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Chinese จีน","Neutral","Neutral","Agree","Strongly agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly agree","Agree","Strongly agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree"
"2024/12/17 2:44:14 下午 GMT+7","International Relations (IR)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Strongly agree","Neutral","Disagree","Agree","Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Disagree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly agree","Agree","Strongly Disagree","Neutral","Disagree","Strongly agree","Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree"
"2024/12/17 2:56:53 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai british","Agree","Neutral","Neutral","Strongly agree","Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree"
"2024/12/17 5:04:59 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Thai ไทย","Neutral","Agree","Agree","Neutral","Disagree","Neutral","Agree","Neutral","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral"
"2024/12/18 1:05:53 上午 GMT+7","IT (Information Technology)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Thai ไทย","Strongly agree","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Neutral","Disagree","Disagree","Agree","Disagree","Neutral","Disagree","Disagree","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Agree","Disagree"
"2024/12/18 8:07:30 上午 GMT+7","CMD (Creative Media Design)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Ivorian ","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2024/12/18 7:46:06 下午 GMT+7","Airlines Business Management (ABM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Neutral","Strongly Disagree","Neutral","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"2024/12/19 11:43:00 上午 GMT+7","International Business Management (IBM)","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Burmese พม่า","Disagree","Disagree","Neutral","Agree","Strongly Disagree","Agree","Neutral","Strongly agree","Agree","Disagree","Agree","Strongly Disagree","Strongly agree","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Strongly agree","Strongly Disagree","Neutral","Strongly agree","Agree","Neutral","Neutral","Disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Neutral"
"2024/12/19 12:52:36 下午 GMT+7","IR","Yes ใช่","Under 20 ต่ำกว่า 20","Female หญิง","Thai ไทย","Strongly agree","Neutral","Neutral","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Neutral","Strongly agree","Strongly agree","Neutral","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2024/12/19 1:07:47 下午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Russian รัสเซีย","Strongly agree","Neutral","Agree","Strongly agree","Disagree","Strongly Disagree","Strongly agree","Disagree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Disagree","Neutral","Strongly agree","Agree","Strongly agree","Neutral","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Strongly agree","Agree","Strongly agree","Disagree"
"2024/12/19 1:14:41 下午 GMT+7","MPE","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Russian รัสเซีย","Strongly agree","Strongly Disagree","Neutral","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Neutral","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Neutral","Neutral","Strongly agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2024/12/19 1:16:42 下午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Russian รัสเซีย","Strongly agree","Neutral","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree"
"2024/12/19 1:51:12 下午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Burmese พม่า","Agree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Disagree","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Disagree"
"2024/12/19 1:55:50 下午 GMT+7","Marketing (MKT)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Strongly agree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Disagree","Strongly Disagree","Strongly agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2024/12/19 2:12:59 下午 GMT+7","MPE (Creative Media Production and Entertainment ","Yes ใช่","Under 20 ต่ำกว่า 20","Female หญิง","Thai ไทย","Disagree","Strongly agree","Neutral","Neutral","Disagree","Neutral","Agree","Disagree","Agree","Strongly Disagree","Neutral","Disagree","Agree","Agree","Neutral","Agree","Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree"
"2024/12/19 2:43:10 下午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","Under 20 ต่ำกว่า 20","Female หญิง","Thai ไทย","Strongly agree","Strongly agree","Disagree","Strongly agree","Neutral","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2024/12/19 3:03:03 下午 GMT+7","International Business Management (IBM)","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Chinese จีน","Neutral","Neutral","Agree","Disagree","Agree","Agree","Disagree","Disagree","Strongly agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Neutral","Disagree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree"
"2024/12/19 3:16:20 下午 GMT+7","International Business Management (IBM)","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Thai ไทย","Strongly agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Strongly Disagree","Neutral","Disagree","Neutral","Neutral","Disagree","Strongly agree","Neutral","Neutral","Disagree","Strongly agree","Neutral","Strongly Disagree","Disagree","Disagree","Agree","Agree","Agree","Neutral","Agree","Disagree"
"2024/12/19 6:05:58 下午 GMT+7","International Business Management (IBM)","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Papua New Guniea","Disagree","Neutral","Agree","Agree","Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2024/12/19 7:44:10 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Burmese พม่า","Agree","Strongly agree","Agree","Agree","Neutral","Neutral","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Neutral","Agree","Disagree","Disagree","Strongly Disagree","Neutral","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Neutral","Agree","Strongly agree","Agree"
"2024/12/19 9:02:46 下午 GMT+7","LGM","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Thai ไทย","Agree","Agree","Neutral","Strongly agree","Disagree","Strongly Disagree","Strongly agree","Disagree","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly agree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree"
"2024/12/19 11:18:33 下午 GMT+7","CMD (Creative Media Design)","No ไม่","Under 20 ต่ำกว่า 20","Male ชาย","Thai ไทย","Neutral","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly Disagree","Neutral","Strongly agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Strongly agree","Agree","Agree","Strongly Disagree","Neutral","Neutral","Strongly agree","Strongly Disagree","Neutral","Disagree","Agree","Strongly agree","Agree","Strongly agree","Neutral","Strongly agree","Agree","Agree","Strongly agree"
"2024/12/20 7:49:07 上午 GMT+7","Finance and Banking ","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Burmese พม่า","Agree","Neutral","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Neutral","Strongly agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Strongly agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree"
"2024/12/20 10:32:26 上午 GMT+7","International Hospitality Management (IHM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Korean","Neutral","Agree","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree"
"2024/12/20 11:59:38 上午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Vietnamese","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2024/12/20 12:09:35 下午 GMT+7","International Business Management (IBM)","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Thai USA","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2024/12/20 12:11:46 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Burmese พม่า","Neutral","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2024/12/20 12:21:43 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Thai ไทย","Disagree","Strongly agree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Strongly agree","Strongly Disagree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly agree","Neutral","Neutral","Agree","Strongly Disagree","Neutral","Strongly agree","Agree","Strongly agree","Neutral"
"2024/12/20 12:31:41 下午 GMT+7","LGM","No ไม่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Thai ไทย","Agree","Strongly agree","Strongly agree","Strongly Disagree","Neutral","Strongly agree","Neutral","Strongly Disagree","Agree","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2024/12/20 12:46:44 下午 GMT+7","English for Applied Global Communication (AGC)","No ไม่","From 30 to 39 จาก 30 ไปถึง 39","Male ชาย","Thai ไทย","Strongly agree","Neutral","Agree","Disagree","Disagree","Strongly Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Neutral","Disagree","Disagree","Strongly Disagree"
"2024/12/20 1:31:02 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Finnish","Agree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Agree","Neutral","Strongly Disagree","Neutral","Neutral","Agree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Neutral","Disagree","Neutral","Strongly Disagree"
"2024/12/20 2:43:42 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Agree","Disagree","Agree","Agree","Neutral","Disagree","Agree","Agree","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Neutral","Disagree","Disagree","Agree","Agree","Strongly Disagree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Disagree","Disagree","Disagree"
"2024/12/20 3:02:20 下午 GMT+7","English for Applied Global Communication (AGC)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Strongly agree","Agree","Disagree","Strongly agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly agree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Agree","Agree","Strongly Disagree"
"2024/12/20 8:12:26 下午 GMT+7","ADC","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Russian รัสเซีย","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Agree","Neutral","Disagree","Agree","Strongly agree","Neutral","Agree","Agree","Neutral","Neutral","Strongly Disagree","Agree","Neutral","Disagree","Neutral","Neutral"
"2024/12/20 8:42:01 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Male ชาย","Thai ไทย","Agree","Agree","Agree","Strongly agree","Neutral","Disagree","Agree","Neutral","Strongly agree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Strongly agree","Disagree","Neutral","Strongly agree","Agree","Neutral","Agree","Disagree","Agree","Neutral","Strongly agree","Agree","Neutral"
"2024/12/20 8:49:47 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Thai ไทย","Neutral","Strongly agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Disagree","Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Disagree","Neutral","Disagree","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree"
"2024/12/20 11:32:29 下午 GMT+7","International Business Management (IBM)","Yes ใช่","From 20 to 29 จาก 20 ไปถึง 29","Female หญิง","Thai ไทย","Disagree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Disagree","Agree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Agree","Disagree","Strongly agree","Neutral","Strongly agree","Disagree","Neutral","Disagree","Strongly agree","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree"
